HPI rank;Country;ISO;Continent;Unnamed: 4;Population (thousands);Year;LifeExp (years);Ladder of life (0-10);Footprint (g ha);HPI;Biocapacity for year (g ha);GDP per capita ($)
152;Qatar;QAT;4;2019QAT;2832.071;2019;80.2;6.374529362;15.03758856;24.32655376;1.56;90043.92618
64;Romania;ROU;7;2019ROU;19364.558;2019;76;6.129942417;3.925004477;46.21227471;1.56;29968.57521
131;Russia;RUS;7;2019RUS;145872.26;2019;72.6;5.440523624;5.463714556;34.92504653;1.56;27043.93539
115;Rwanda;RWA;5;2019RWA;12626.938;2019;69;3.268152237;0.606204969;39.23448403;1.56;2226.863571
97;Saudi Arabia;SAU;4;2019SAU;34268.529;2019;75.1;6.561247349;5.516561892;41.61211706;1.56;46962.14906
34;Senegal;SEN;5;2019SEN;16296.362;2019;67.9;5.488736629;1.15246151;51.19518904;1.56;3394.868808
26;Serbia;SRB;7;2019SRB;8772.228;2019;76;6.241407394;2.691386041;53.21580638;1.56;18350.58731
147;Sierra Leone;SLE;5;2019SLE;7813.207;2019;54.7;3.447381496;0.966944784;29.01673937;1.56;1718.276712
68;Singapore;SGP;8;2019SGP;5804.343;2019;83.6;6.378359795;5.598810316;45.54925389;1.56;97341.46865
61;Slovakia;SVK;7;2019SVK;5457.012;2019;77.5;6.243428707;4.217127795;46.57431406;1.56;31965.32847
53;Slovenia;SVN;7;2019SVN;2078.654;2019;81.3;6.665273666;5.045764978;47.88454788;1.56;39029.72579
129;South Africa;ZAF;5;2019ZAF;58558.267;2019;64.1;5.034863472;2.966766551;36.20526477;1.56;12481.81351
110;South Korea;KOR;8;2019KOR;51225.321;2019;83;5.902816772;6.446572539;39.81907149;1.56;42878.8173
30;Spain;ESP;3;2019ESP;46736.782;2019;83.6;6.457449436;4.142668854;52.3355153;1.56;40936.21952
60;Sri Lanka;LKA;6;2019LKA;21323.734;2019;77;4.213299274;1.501491981;46.79711602;1.56;13078.09812
112;Sudan;SDN;5;2019SDN;42813.237;2019;65.3;4.241629481;1.337276684;39.60313347;1.56;3958.46839
41;Sweden;SWE;3;2019SWE;10036.391;2019;82.8;7.398092747;5.605593113;50.50051612;1.56;52642.3152
4;Switzerland;CHE;3;2019CHE;8591.361;2019;83.8;7.69422102;4.142516115;60.10465034;1.56;68390.71299
87;Taiwan;TWN;8;2019TWN;23773.881;2019;80.4627;6.537089825;5.969634938;43.15363214;1.56;
17;Tajikistan;TJK;7;2019TJK;9321.023;2019;71.1;5.464015484;0.964901584;55.15297812;1.56;3379.748697
124;Tanzania;TZA;5;2019TZA;58005.461;2019;65.5;3.640154839;1.093729383;36.95833825;1.56;2660.420338
28;Thailand;THA;8;2019THA;69625.581;2019;77.2;6.02215147;2.657845518;52.90452836;1.56;18459.99486
123;Togo;TGO;5;2019TGO;8082.359;2019;61;4.179493904;1.093472558;37.31041453;1.56;1596.644938
144;Trinidad and Tobago;TTO;1;2019TTO;1394.969;2019;73.5;6.191859722;8.243828751;31.61280299;1.56;26175.83698
81;Tunisia;TUN;4;2019TUN;11694.721;2019;76.7;4.315479755;2.118263819;43.92253442;1.56;10755.60815
102;Turkey;TUR;4;2019TUR;83429.607;2019;77.7;4.87207365;3.610031436;41.28234798;1.56;28289.0888
141;Turkmenistan;TKM;7;2019TKM;5942.094;2019;68.2;5.474299908;5.360309534;32.95738249;1.56;
76;Uganda;UGA;5;2019UGA;44269.587;2019;63.4;4.948051453;0.98585989;44.76973343;1.56;2187.464881
103;Ukraine;UKR;7;2019UKR;43993.643;2019;72.1;4.701762199;2.643290808;40.90280442;1.56;12810.28945
135;United Arab Emirates;ARE;4;2019ARE;9770.526;2019;78;6.710782528;8.935042966;34.30856703;1.56;67119.13264
14;United Kingdom;GBR;3;2019GBR;67530.161;2019;81.3;7.157151222;3.948529357;55.96785254;1.56;46702.97842
122;United States of America;USA;2;2019USA;329064.917;2019;78.9;6.943701267;8.21127422;37.44571593;1.56;62530.38959
10;Uruguay;URY;1;2019URY;3461.731;2019;77.9;6.600337029;2.621885465;57.53003585;1.56;21561.06205
24;Uzbekistan;UZB;7;2019UZB;32981.715;2019;71.7;6.154049397;1.882619055;54.14126925;1.56;6998.767576
2;Vanuatu;VUT;8;2019VUT;299.882;2019;70.5;6.955620317;1.61609366;60.36387581;1.56;3153.015168
46;Venezuela;VEN;1;2019VEN;28515.829;2019;72.1;5.080803394;1.593181787;48.94059614;1.56;
48;Vietnam;VNM;8;2019VNM;96462.108;2019;75.4;5.467451096;2.56373618;48.44459745;1.56;8041.178551
77;Yemen;YEM;4;2019YEM;29161.922;2019;66.1;4.196912766;0.515748973;44.62843323;1.56;
134;Zambia;ZMB;5;2019ZMB;17861.034;2019;63.9;3.306796551;0.931228935;34.41091087;1.56;3470.448801
148;Zimbabwe;ZWE;5;2019ZWE;14645.473;2019;61.5;2.693523169;0.980442271;28.64019133;1.56;2835.948532
1;Costa Rica;CRI;1;2018CRI;4999.443;2018;80.1;7.141074657;2.598468849;63.30310154;1.57;20073.88145
2;Ecuador;ECU;1;2018ECU;17084.359;2018;76.8;6.128010273;1.630290323;60.20185891;1.57;11561.74921
3;Guatemala;GTM;1;2018GTM;17247.855;2018;74.1;6.626591682;1.79182249;60.20083496;1.57;8448.463809
4;Vanuatu;VUT;8;2018VUT;292.675;2018;70.3;6.874683597;1.624379041;59.63471472;1.57;3128.469953
5;Panama;PAN;1;2018PAN;4176.868;2018;78.3;6.281434059;2.17913361;58.66240568;1.57;31049.17931
6;Switzerland;CHE;3;2018CHE;8525.614;2018;83.6;7.508586884;4.289062603;58.07155554;1.57;68246.40264
7;Honduras;HND;1;2018HND;9587.523;2018;75.1;5.908423901;1.558357497;57.63346241;1.57;5672.25331
