Country;Happiness score;Dystopia (1.92) + residual;GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption
Macedonia;5.185;1.675;0.959;1.239;0.691;0.394;0.173;0.052
Jordan;5.161;1.697;0.822;1.265;0.645;0.468;0.13;0.134
Nigeria;5.155;2.552;0.689;1.172;0.048;0.462;0.201;0.032
Kyrgyzstan;5.131;1.736;0.53;1.416;0.594;0.54;0.281;0.035
Bosnia and Herzegovina;5.129;1.883;0.915;1.078;0.758;0.28;0.216;0
Mongolia;5.125;1.438;0.914;1.517;0.575;0.395;0.253;0.032
Vietnam;5.103;1.447;0.715;1.365;0.702;0.618;0.177;0.079
Indonesia;5.093;1.417;0.899;1.215;0.522;0.538;0.484;0.018
Bhutan;5.082;1.348;0.796;1.335;0.527;0.541;0.364;0.171
Somalia;4.982;2.961;0;0.712;0.115;0.674;0.238;0.282
Cameroon;4.975;2.688;0.535;0.891;0.182;0.454;0.183;0.043
Bulgaria;4.933;1.219;1.054;1.515;0.712;0.359;0.064;0.009
Nepal;4.88;1.782;0.425;1.228;0.539;0.526;0.302;0.078
Venezuela;4.806;1.442;0.996;1.469;0.657;0.133;0.056;0.052
Gabon;4.758;1.715;1.036;1.164;0.404;0.356;0.032;0.052
Palestinian Territories;4.743;1.853;0.642;1.217;0.602;0.266;0.086;0.076
South Africa;4.724;1.368;0.94;1.41;0.33;0.516;0.103;0.056
Iran;4.707;1.315;1.059;0.771;0.691;0.459;0.282;0.129
Ivory Coast;4.671;2.463;0.541;0.872;0.08;0.467;0.146;0.103
Ghana;4.657;2.093;0.592;0.896;0.337;0.499;0.212;0.029
Senegal;4.631;2.026;0.429;1.117;0.433;0.406;0.138;0.082
Laos;4.623;1.399;0.72;1.034;0.441;0.626;0.23;0.174
Tunisia;4.592;1.722;0.9;0.906;0.69;0.271;0.04;0.063
Albania;4.586;1.462;0.916;0.817;0.79;0.419;0.149;0.032
Sierra Leone;4.571;2.855;0.256;0.813;0;0.355;0.238;0.053
Congo (Brazzaville);4.559;2.041;0.682;0.811;0.343;0.514;0.091;0.077
Bangladesh;4.5;1.664;0.532;0.85;0.579;0.58;0.153;0.144
Sri Lanka;4.471;0.624;0.918;1.314;0.672;0.585;0.307;0.05
Iraq;4.456;1.393;1.01;0.971;0.536;0.304;0.148;0.095
Mali;4.447;2.13;0.37;1.233;0.152;0.367;0.139;0.056
Namibia;4.441;1.287;0.874;1.281;0.365;0.519;0.051;0.064
Cambodia;4.433;1.321;0.549;1.088;0.457;0.696;0.256;0.065
Burkina Faso;4.424;2.145;0.314;1.097;0.254;0.312;0.175;0.128
Egypt;4.419;1.444;0.885;1.025;0.553;0.312;0.092;0.107
Mozambique;4.417;2.249;0.198;0.902;0.173;0.531;0.206;0.158
Kenya;4.41;1.503;0.493;1.048;0.454;0.504;0.352;0.055
Zambia;4.377;1.667;0.562;1.047;0.295;0.503;0.221;0.082
Mauritania;4.356;1.905;0.557;1.245;0.292;0.129;0.134;0.093
Ethiopia;4.35;1.884;0.308;0.95;0.391;0.452;0.22;0.146
Georgia;4.34;1.624;0.853;0.592;0.643;0.375;0.038;0.215
Armenia;4.321;1.483;0.816;0.99;0.666;0.26;0.077;0.028
Myanmar;4.308;0.667;0.682;1.174;0.429;0.58;0.598;0.178
Chad;4.301;2.553;0.358;0.907;0.053;0.189;0.181;0.06
Congo (Kinshasa);4.245;2.274;0.069;1.136;0.204;0.312;0.197;0.052
India;4.19;1.432;0.721;0.747;0.485;0.539;0.172;0.093
Niger;4.166;2.283;0.131;0.867;0.221;0.39;0.175;0.099
Uganda;4.161;1.742;0.322;1.09;0.237;0.45;0.259;0.061
Benin;4.141;2.481;0.378;0.372;0.24;0.44;0.163;0.067
Sudan;4.139;1.75;0.605;1.24;0.312;0.016;0.134;0.082
Ukraine;4.103;0.927;0.793;1.413;0.609;0.163;0.187;0.011
Togo;3.999;2.319;0.259;0.474;0.253;0.434;0.158;0.101
Guinea;3.964;1.943;0.344;0.792;0.211;0.394;0.185;0.094
Lesotho;3.808;1.392;0.472;1.215;0.079;0.423;0.116;0.112
Angola;3.795;1.531;0.73;1.125;0.269;0;0.079;0.061
Madagascar;3.774;1.778;0.262;0.908;0.402;0.221;0.155;0.049
Zimbabwe;3.692;1.356;0.357;1.094;0.248;0.406;0.132;0.099
Afghanistan;3.632;2.196;0.332;0.537;0.255;0.085;0.191;0.036
Botswana;3.59;0.292;1.017;1.174;0.417;0.557;0.042;0.092
Malawi;3.587;1.732;0.186;0.541;0.306;0.531;0.21;0.08
Haiti;3.582;1.744;0.315;0.714;0.289;0.025;0.392;0.104
Liberia;3.495;1.64;0.076;0.858;0.267;0.419;0.206;0.03
Syria;3.462;1.244;0.689;0.382;0.539;0.088;0.376;0.144
Rwanda;3.408;0.5;0.332;0.896;0.4;0.636;0.2;0.444
Yemen;3.355;1.106;0.442;1.073;0.343;0.244;0.083;0.064
Tanzania;3.303;0.628;0.455;0.991;0.381;0.481;0.27;0.097
South Sudan;3.254;1.691;0.337;0.608;0.177;0.112;0.224;0.106
Central African Republic;3.083;2.487;0.024;0;0.01;0.305;0.218;0.038
Burundi;2.905;1.752;0.091;0.627;0.145;0.065;0.149;0.076
